id,labels,popularity,name,username
2ydmGsz8W6qDq2UgotdxzR,Release,,,
2IU248HGggImC4uIfZiTit,Release,,,
5vfnsOgLqsgmEb3vGyc2FO,Release,,,
2N1pWk6xj2LX6sgGzHKbLX,Release,,,
1Do3y8IAcbYOToYQJnGwSO,Release,,,
0uCkOaecMm25kKG4I5AG6Q,Release,,,
3i1VnKDxGn83Oy4ngpFBCX,Release,,,
3DLSu5fxSIaG7Ph8G5YVBp,Release,,,
5qyUw6x9fjZPoQHUwuDu39,Release,,,
0QuN909GHid8OwNxrhJMGc,Release,,,
6Yf9kML4wT3opmXhTUIfk7,Release,,,
3G63CfLqzWvBfZboycpyx5,Release,,,
41s8PPH5gEz7H8b8kbv5Y5,Release,,,
2nOW4KIsrMnoL4hJZRODKl,Release,,,
75s3OxagI6DX8OKLKymPLN,Release,,,
1dfeR4HaWDbWqFHLkxsg1d,Artist,86.0,,
286,Genre,,classic rock,
287,Genre,,glam rock,
4wYe26p1N110qVsKVlb0rL,Release,,,
6i6folBtxKV28WX3msQ4FE,Release,,,
6SbrIpVsaJ5wgCQtMMwVR2,Release,,,
05c49JgPmL4Uz2ZeqRx5SP,Release,,,
4RjhFl7Eo8PouXAL8GMiXS,Release,,,
1zPInImSAOeB2u5Dm03YJI,Release,,,
4rxdf27orKcIWhwSEqoed9,Release,,,
3BuEiPtiFc0kcnZvURQpn8,Release,,,
58cLPp4yE9IkQ7TvuHS5r9,Release,,,
3W7HRwvYEuenMdEOuLPOxw,Release,,,
274tWwrhGJy0IFeMENjWi7,Release,,,
391ScNR3xKywWSpfDwP3n0,Release,,,
2ZUwFxlWo0gwTsvZ6L4Meh,Release,,,
0pipZo4jBQ2hA4HphdFccg,Release,,,
6b7VmKVacoa7bbIHwlKfK7,Release,,,
5kffKW0sSLo6tkLg1veUGC,Release,,,
3h6SV9wHJtNL1YswZUJs8V,Release,,,
6XRbTxJxSsiRmGYVmbdLui,Release,,,
0pEfDPZko6TnNOgrZMe5nn,Release,,,
61foK8xa76FEOk36uOxoc9,Release,,,
5RS9xkMuDmeVISqGDBmnSa,Release,,,
7zdLRBTgDed30srnelpP7Q,Release,,,
6reTSIf5MoBco62rk8T7Q1,Release,,,
3rxolmqfcqWFr1kihP3lpQ,Release,,,
4r9kNse038AoF2KfbqPUOS,Release,,,
2eRJUtI7nXrQ5uYQ7tzTo9,Release,,,
5jLOYFZn7yaG88TJi54MNu,Release,,,
58alCatewkjNm9IM1Ucj67,Release,,,
4i5lh5phaCZaM35CytCbvc,Release,,,
3EObaP2m31JK9UUhLcRGFU,Release,,,
2yuTRGIackbcReLUXOYBqU,Release,,,
5EAEpt26lzvDKNDFQD94b6,Release,,,
7tB40pGzj6Tg0HePj2jWZt,Release,,,
4KZGe18wZJbXL6JLW4KyLc,Release,,,
3hfcNo7WWy1Z1ie0nJ8PRy,Release,,,
75eP8LZolyNBpqIRyB5pvB,Release,,,
1GbtB4zTqAsyfZEsm1RZfx,Release,,,
6LY3AerY6KNGOPsNPL63Kk,Release,,,
7MZzYkbHL9Tk3O6WeD4Z0Z,Release,,,
1Gnrd76EubInPV4KjOJ1Zr,Release,,,
5SBHID8qGG3x52zgoh2ilz,Release,,,
48MhNEYxMJvcBbqz85UTQP,Release,,,
0NouBnbXRJKFWzm9LwCW0K,Release,,,
0GNCTHjnwyNZNp4UOkAn6C,Release,,,
763x2B8AWacqWDjP9KjM5l,Release,,,
2hZTdsWsAqlgrYG6Nd6Egg,Release,,,
1kkb8xlG9yssEVsWKiEtAB,Release,,,
1mcTU81TzQhprhouKaTkpq,Artist,92.0,,
0aX0UXrHG2ceYIxTQcqJdA,Release,,,
6E7Awtyx6opYTbPXx6ApzB,Release,,,
5AcRssiG0Zqu3lqYW7hMoM,Release,,,
2ZXwd2AzsVWTwp1oT3tfMI,Release,,,
2Nt6MDJXfoxQ22tIQgWXIh,Release,,,
3fq06DDIkadDRB9RuBb22v,Release,,,
0i9MBa4hxPQcGqcOn5YSOz,Release,,,
37rUi63O4koMFvrSC1EMam,Release,,,
69GGBxA162lTqCwzJG5jLp,Artist,84.0,,
7j7iPq5rokadGr1ZdJRGgE,Release,,,
06NJ4sxQJg1BiSGH9WkzRE,Release,,,
3Fpxa7OUrdGmqEebgoAF1E,Release,,,
